"Frequency Hz","Response db"
7642.36,-15.312751
7652.35,-15.332024
7662.34,-15.350058
7672.33,-15.367624
7682.32,-15.3873
7692.31,-15.404914
7702.3,-15.427384
7712.29,-15.445273
7722.28,-15.465487
7732.27,-15.481591
7742.26,-15.502684
7752.25,-15.519499
7762.24,-15.539327
7772.23,-15.558514
7782.22,-15.577584
7792.21,-15.599057
7802.2,-15.61553
7812.19,-15.635729
7822.18,-15.652331
7832.17,-15.67205
7842.16,-15.689472
7852.15,-15.709357
7862.14,-15.728871
7872.13,-15.747181
7882.12,-15.768482
7892.11,-15.785545
7902.1,-15.805181
7912.09,-15.822507
7922.08,-15.841145
7932.07,-15.86026
7942.06,-15.877301
7952.05,-15.897864
7962.04,-15.915176
7972.03,-15.934495
7982.02,-15.954326
7992.01,-15.971572
7993.0,-15.972278
8002.0,-15.99287
8011.99,-16.008874
8021.98,-16.02783
8031.97,-16.046495
8041.96,-16.063116
8051.95,-16.083236
8061.94,-16.099434
8071.93,-16.119085
8081.92,-16.138703
8091.91,-16.155541
8101.9,-16.176261
8111.89,-16.193899
8121.88,-16.212462
8131.87,-16.232818
8141.86,-16.249303
8151.85,-16.268687
8161.84,-16.288056
8171.83,-16.304828
8181.82,-16.32503
8191.81,-16.343271
8201.8,-16.360305
8211.79,-16.380034
8221.78,-16.396215
8231.77,-16.414513
8241.76,-16.434483
8251.75,-16.451062
8261.74,-16.469443
8271.73,-16.488614
8281.72,-16.504876
8291.71,-16.523941
8301.7,-16.542993
8311.69,-16.559275
8321.68,-16.578096
8331.67,-16.597045
8341.66,-16.613411
8351.65,-16.632522
8361.64,-16.651468
8371.63,-16.667775
8381.62,-16.687214
8391.61,-16.705861
8401.6,-16.722221
8411.59,-16.741236
8421.58,-16.760225
8431.57,-16.776948
8441.56,-16.795383
8451.55,-16.814717
8461.54,-16.831769
8471.53,-16.848631
8481.52,-16.868708
8491.51,-16.886732
8501.5,-16.902995
8511.49,-16.922766
8521.48,-16.940589
8531.47,-16.957504
8541.46,-16.976471
8551.45,-16.995299
8561.44,-17.012387
8571.43,-17.029597
8581.42,-17.049156
8591.41,-17.067141
8601.4,-17.083024
8611.39,-17.102032
8621.38,-17.121143
8631.37,-17.137876
8641.36,-17.153933
8651.35,-17.172591
8661.34,-17.190623
8671.33,-17.206756
8681.32,-17.224408
8691.31,-17.242544
8701.3,-17.260987
8711.29,-17.277304
8721.28,-17.296009
8731.27,-17.314779
8741.26,-17.332386
8751.25,-17.34939
8761.24,-17.367496
8771.23,-17.386285
8781.22,-17.403876
8791.21,-17.420262
8801.2,-17.437249
8811.19,-17.455809
8821.18,-17.472875
8831.17,-17.489202
8841.16,-17.506349
8851.15,-17.525598
8861.14,-17.544367
8871.13,-17.561758
8881.12,-17.578105
8891.11,-17.596161
8901.1,-17.613915
8911.09,-17.630682
8921.08,-17.645652
8931.07,-17.663069
8941.06,-17.682532
8951.05,-17.701008
8961.04,-17.718081
8971.03,-17.734771
8981.02,-17.7524
8991.01,-17.770149
8992.0,-17.771072
9001.0,-17.787098
9010.99,-17.803243
9020.98,-17.819304
9030.97,-17.837962
9040.96,-17.856751
9050.95,-17.875365
9060.94,-17.892024
9070.93,-17.907445
9080.92,-17.924441
9090.91,-17.941682
9100.9,-17.960425
9110.89,-17.978146
9120.88,-17.994705
9130.87,-18.011061
9140.86,-18.027851
9150.85,-18.046278
9160.84,-18.062972
9170.83,-18.079989
9180.82,-18.097747
9190.81,-18.114532
9200.8,-18.13198
9210.79,-18.148729
9220.78,-18.16608
9230.77,-18.182933
9240.76,-18.200593
9250.75,-18.217619
9260.74,-18.233775
9270.73,-18.250445
9280.72,-18.268687
9290.71,-18.286006
9300.7,-18.303169
9310.69,-18.319689
9320.68,-18.334894
9330.67,-18.35135
9340.66,-18.369734
9350.65,-18.387906
9360.64,-18.405337
9370.63,-18.421201
9380.62,-18.436606
9390.61,-18.453137
9400.6,-18.471178
9410.59,-18.488411
9420.58,-18.504699
9430.57,-18.520876
9440.56,-18.538877
9450.55,-18.556999
9460.54,-18.572926
9470.53,-18.589028
9480.52,-18.604272
9490.51,-18.622137
9500.5,-18.639447
9510.49,-18.655969
9520.48,-18.672675
9530.47,-18.689568
9540.46,-18.707808
9550.45,-18.724244
9560.44,-18.740242
9570.43,-18.756078
9580.42,-18.773091
9590.41,-18.78995
9600.4,-18.805403
9610.39,-18.821049
9620.38,-18.839472
9630.37,-18.857564
9640.36,-18.873265
9650.35,-18.889349
9660.34,-18.908052
9670.33,-18.9248
9680.32,-18.939224
9690.31,-18.956117
9700.3,-18.974109
9710.29,-18.989482
9720.28,-19.005422
9730.27,-19.021312
9740.26,-19.038471
9750.25,-19.055456
9760.24,-19.070476
9770.23,-19.08707
9780.22,-19.104308
9790.21,-19.120458
9800.2,-19.136572
9810.19,-19.154191
9820.18,-19.170565
9830.17,-19.185622
9840.16,-19.202769
9850.15,-19.219859
9860.14,-19.235719
9870.13,-19.250681
9880.12,-19.269381
9890.11,-19.284497
9900.1,-19.300105
9910.09,-19.317577
9920.08,-19.333961
9930.07,-19.347808
9940.06,-19.365344
9950.05,-19.381838
9960.04,-19.397202
9970.03,-19.413798
9980.02,-19.430815
9990.01,-19.446696
9991.0,-19.451643
10990.0,-21.016606
11989.0,-22.48367
12988.0,-23.858332
13987.0,-25.149375
14986.0,-26.366014
15985.0,-27.527158
16984.0,-28.622269
17983.0,-29.676329
18982.0,-30.657834
19981.0,-31.611477
20980.0,-32.536102
21979.0,-33.404393
22978.0,-34.224472
23977.0,-35.028985
24976.0,-35.816516
25975.0,-36.590475
26974.0,-37.329569
27973.0,-38.039244
28972.0,-38.730998
29971.0,-39.400328
30970.0,-40.066321
31969.0,-40.740294
32968.0,-41.415565
33967.0,-42.104864
34966.0,-42.818245
35965.0,-43.549482
36964.0,-44.305709
37963.0,-45.093454
38962.0,-45.906095
39961.0,-46.723672
40960.0,-47.558286
41959.0,-48.409987
42958.0,-49.244539
43957.0,-50.090381
44956.0,-50.915376
45955.0,-51.721154
46954.0,-52.508015
47953.0,-53.246823
48952.0,-53.953994
49951.0,-54.628072
50950.0,-55.251073
51949.0,-55.842472
52948.0,-56.362777
53947.0,-56.874857
54946.0,-57.259688
